2307,71,86419013,3148838,915144579
2381,20,86173436,3142100,912569413
2566,191,86408370,3146429,915028568
1769,88,86019953,3138919,910960471
1693,34,86049921,3142010,911231123
2355,37,86004230,3137147,910775218
1478,22,85987642,3137233,910597755
1921,38,85994376,3136074,910674645
1942,17,86038990,3139558,911142194
1938,2,86039754,3139013,911168050
3287,469,85580160,3123064,906291362
2051,153,86035764,3137937,911099254
1744,73,86045781,3135974,911205387
1919,86,86006494,3136919,910823646
1841,46,86004864,3136932,910794533
1536,29,86011921,3137569,910865354
1845,27,86010842,3137109,910835730
2487,543,86031844,3138606,911072514
1780,153,86055352,3141195,911327493
1539,113,86093078,3136941,911752271
1804,73,86075159,3138683,911541010
2072,63,86056874,3139370,911363946
2977,83,86024285,3135570,910998410
1637,21,86073715,3136822,911536084
1621,17,86051654,3138386,911289084
3353,570,85794685,3128532,908591269
2926,217,85813523,3131583,908782352
1607,57,86097830,3135001,911790518
2347,68,86059999,3137211,911383889
2545,230,86087822,3136286,911688388
1889,45,86117601,3137151,911974147
2302,59,86086751,3135888,911693193
2492,102,86052040,3137498,911292160
1778,5,86128282,3136596,912118686
1717,61,86106220,3138745,911896871
1754,30,86094579,3138988,911775841
2355,50,86079053,3137088,911593829
1783,15,86085509,3135297,911703380
1959,24,86022718,3137151,910983957
1802,13,86030682,3133214,911096046
3308,293,86006229,3134193,910849006
3789,269,85909190,3126512,909838259
3014,248,86121452,3135117,912052972
2254,32,86016551,3134250,910952813
22256,967,83253783,3037035,881712957
2110,125,86077550,3135833,911590142
2008,73,86080406,3137365,911609248
1870,109,86095393,3135393,911807184
2373,77,86043328,3135819,911233578
1851,41,86069985,3137409,911490613
2545,81,86040988,3134942,911233313
2006,48,86094099,3133860,911780052
2153,75,86085074,3133241,911696920
1982,71,86142963,3133853,912300752
1690,48,86113574,3137715,911974449
2201,201,86120099,3132967,912058300
7620,574,85129586,3100929,901578973
2064,168,86062696,3135633,911459095
1943,29,86050837,3134981,911322219
1657,25,85969484,3132932,910465304
2253,136,85898430,3128395,909699232
2209,38,85796501,3125554,908646437
2539,27,85650751,3118604,907105664
1746,35,85718290,3118999,907815763
2023,22,85757977,3124384,908236471
2557,33,85776353,3125012,908432840
1999,14,85830694,3121615,908979767
2816,21,85590715,3114467,906459727
2695,38,85714714,3119441,907794193
2286,35,85650128,3120138,907113315
2742,231,85566293,3115740,906202022
21588,1083,83172446,3032221,880866226
2432,115,85752432,3120831,908183596
2242,140,85693642,3118961,907550670
1911,41,85512567,3112954,905639693
2032,79,85554629,3113717,906062440
2116,52,85305219,3103452,903454357
4621,893,81179942,2954590,859736998
50,9,1261,53,13272
10514,720,81431443,3058593,858838793
4495,140,82321034,3091505,868134657
6816,635,81479449,3061973,859304255
5158,455,82482778,3096227,869915659
6636,160,82105053,3090856,866294376
6765,256,81932674,3092842,864384102
3138,106,82489515,3119095,870147709
2549,58,82775483,3114985,873136869
3342,97,82577189,3109062,871357407
30044,1167,80282156,3025555,846998941
4636,87,82567365,3111487,870973813
8984,269,81362753,3057280,857945959
2840,113,82562085,3104498,870966286
3921,80,82004719,3083076,864862499
4071,54,82069974,3090098,865549178
2937,45,81854550,3083051,862850437
4221,35,82201052,3097076,867102196
9926,893,80655508,3043128,850951861
4322,292,82245305,3110418,867800229
4059,98,82077585,3098941,865770804
3416,47,82389594,3105424,869347365
5007,152,82399754,3099236,869819373
4497,69,82426792,3107611,870134357
5031,213,82351038,3092633,869054787
2168,96,82917525,3104404,875513401
3023,60,83173610,3111161,878403000
2482,42,82897370,3097764,875299657
1781,49,83117065,3096363,877799799
2028,52,83341662,3107661,880461503
2631,159,83120088,3093629,878006652
2437,79,83151419,3087800,878392649
3113,91,83336567,3093770,880674264
2944,301,83159388,3089939,878705588
3196,470,83223786,3089470,879401973
2670,128,83153930,3094628,878968925
2723,213,82776946,3083536,874879628
16993,929,81926547,3051761,865875926
2537,104,83091782,3094322,878486947
2943,114,83304247,3110841,880691153
2051,20,83318593,3105022,880788104
2476,25,83542166,3116120,883421392
